CMDLINE othello -g
MEM 880.328125 1775762411.3668
MEM 885.121094 1775762411.4686
MEM 879.023438 1775762411.5711
MEM 877.238281 1775762411.6730
MEM 878.398438 1775762411.7748
MEM 883.332031 1775762411.8768
MEM 881.546875 1775762411.9786
MEM 881.578125 1775762412.0805
MEM 887.757812 1775762412.1828
MEM 881.566406 1775762412.2844
MEM 879.566406 1775762412.3862
MEM 879.574219 1775762412.4880
MEM 881.656250 1775762412.5904
MEM 883.785156 1775762412.6923
MEM 881.820312 1775762412.7946
MEM 883.742188 1775762412.8964
MEM 884.269531 1775762412.9982
MEM 882.273438 1775762413.0999
MEM 882.359375 1775762413.2016
MEM 880.941406 1775762413.3036
MEM 881.050781 1775762413.4051
MEM 883.269531 1775762413.5071
MEM 881.949219 1775762413.6098
MEM 879.406250 1775762413.7115
MEM 879.437500 1775762413.8132
MEM 886.433594 1775762413.9151
MEM 879.675781 1775762414.0167
MEM 879.675781 1775762414.1185
MEM 879.675781 1775762414.2206
MEM 879.675781 1775762414.3225
MEM 879.675781 1775762414.4244
MEM 879.675781 1775762414.5264
MEM 879.675781 1775762414.6282
MEM 879.675781 1775762414.7300
MEM 879.675781 1775762414.8317
MEM 879.675781 1775762414.9338
MEM 879.675781 1775762415.0354
MEM 879.675781 1775762415.1374
MEM 879.675781 1775762415.2393
MEM 879.675781 1775762415.3414
MEM 879.675781 1775762415.4432
MEM 879.675781 1775762415.5448
MEM 879.675781 1775762415.6465
MEM 879.675781 1775762415.7482
MEM 879.675781 1775762415.8499
MEM 879.675781 1775762415.9517
MEM 879.675781 1775762416.0535
MEM 879.675781 1775762416.1551
MEM 879.675781 1775762416.2571
MEM 879.675781 1775762416.3587
MEM 879.675781 1775762416.4604
MEM 881.480469 1775762416.5621
MEM 879.675781 1775762416.6640
MEM 883.156250 1775762416.7659
MEM 881.910156 1775762416.8677
MEM 885.781250 1775762416.9702
MEM 879.851562 1775762417.0720
MEM 879.851562 1775762417.1738
MEM 879.851562 1775762417.2756
MEM 881.867188 1775762417.3773
MEM 879.875000 1775762417.4791
MEM 880.136719 1775762417.5809
MEM 882.492188 1775762417.6828
MEM 884.156250 1775762417.7846
MEM 880.156250 1775762417.8863
MEM 882.375000 1775762417.9880
MEM 880.828125 1775762418.0898
MEM 883.625000 1775762418.1917
MEM 878.199219 1775762418.2941
MEM 878.707031 1775762418.3961
MEM 878.730469 1775762418.4978
MEM 885.621094 1775762418.5997
MEM 883.652344 1775762418.7026
MEM 881.687500 1775762418.8043
MEM 879.988281 1775762418.9061
MEM 883.785156 1775762419.0078
MEM 885.902344 1775762419.1096
MEM 883.902344 1775762419.2116
MEM 881.902344 1775762419.3134
MEM 885.125000 1775762419.4152
MEM 888.355469 1775762419.5172
MEM 886.996094 1775762419.6188
MEM 885.750000 1775762419.7207
MEM 883.042969 1775762419.8224
MEM 885.144531 1775762419.9241
MEM 886.476562 1775762420.0259
MEM 885.058594 1775762420.1278
MEM 883.058594 1775762420.2296
MEM 879.902344 1775762420.3315
MEM 885.921875 1775762420.4333
MEM 879.929688 1775762420.5348
MEM 879.929688 1775762420.6367
MEM 882.378906 1775762420.7383
MEM 883.945312 1775762420.8401
MEM 882.371094 1775762420.9416
MEM 881.250000 1775762421.0436
MEM 887.265625 1775762421.1458
MEM 885.265625 1775762421.2488
MEM 883.394531 1775762421.3511
MEM 881.265625 1775762421.4529
MEM 881.265625 1775762421.5546
MEM 883.281250 1775762421.6564
MEM 885.421875 1775762421.7581
